sex;age;race;marital-status;education;native-country;workclass;occupation;salary-class
Male;55;White;Married-civ-spouse;Secondary education;North America;Non-Government;Other;<=50K
Male;64;White;Married-civ-spouse;Higher education;North America;Non-Government;Technical;>50K
Male;58;White;Married-civ-spouse;Secondary education;North America;Non-Government;Other;<=50K
Male;51;White;Married-civ-spouse;Secondary education;North America;Non-Government;Other;<=50K
Male;54;White;Married-civ-spouse;Secondary education;North America;Non-Government;Technical;>50K
Female;51;White;Married-civ-spouse;Higher education;North America;Government;Technical;>50K
Male;72;White;Married-civ-spouse;Secondary education;North America;Government;Other;>50K
Male;55;White;Married-civ-spouse;Higher education;North America;Non-Government;Nontechnical;<=50K
Male;53;White;Married-civ-spouse;Higher education;North America;Government;Other;>50K
Male;51;White;Married-civ-spouse;Higher education;North America;Non-Government;Nontechnical;>50K
Male;53;White;Married-civ-spouse;Secondary education;North America;Non-Government;Technical;<=50K
Male;55;White;Married-civ-spouse;Secondary education;North America;Non-Government;Technical;<=50K
Female;57;White;Married-civ-spouse;Higher education;North America;Non-Government;Nontechnical;>50K
Male;56;White;Married-civ-spouse;Secondary education;North America;Government;Other;<=50K
Male;79;White;Married-civ-spouse;Secondary education;North America;Non-Government;Nontechnical;>50K
*;54;*;*;*;*;*;*;*
Male;51;White;Married-civ-spouse;Higher education;North America;Non-Government;Other;>50K
Male;71;White;Married-civ-spouse;Higher education;North America;Non-Government;Nontechnical;>50K
Male;56;White;Married-civ-spouse;Secondary education;Europe;Non-Government;Technical;<=50K
Male;51;White;Married-civ-spouse;Higher education;North America;Non-Government;Nontechnical;>50K
Male;53;White;Married-civ-spouse;Higher education;North America;Non-Government;Nontechnical;>50K
Female;52;Black;Divorced;Secondary education;North America;Government;Other;<=50K
Male;70;White;Married-civ-spouse;Higher education;North America;Non-Government;Technical;>50K
Female;64;White;Widowed;Higher education;North America;Non-Government;Other;<=50K
Male;61;Black;Married-civ-spouse;Secondary education;North America;Non-Government;Other;<=50K
Male;51;White;Married-civ-spouse;Higher education;North America;Non-Government;Technical;>50K
Male;51;White;Married-civ-spouse;Higher education;North America;Non-Government;Technical;>50K
Male;54;White;Married-civ-spouse;Primary education;North America;Non-Government;Other;<=50K
*;58;*;*;*;*;*;*;*
Male;61;White;Married-civ-spouse;Secondary education;North America;Non-Government;Technical;<=50K
*;53;*;*;*;*;*;*;*
*;60;*;*;*;*;*;*;*
Male;51;White;Married-civ-spouse;Secondary education;North America;Non-Government;Technical;<=50K
Male;51;White;Married-civ-spouse;Higher education;North America;Government;Technical;>50K
Male;54;White;Married-civ-spouse;Higher education;North America;Non-Government;Technical;>50K
Male;57;White;Married-civ-spouse;Secondary education;North America;Non-Government;Technical;<=50K
Female;51;Black;Divorced;Secondary education;North America;Non-Government;Other;<=50K
Male;51;White;Married-civ-spouse;Higher education;North America;Non-Government;Nontechnical;<=50K
Male;67;White;Married-civ-spouse;Secondary education;North America;Non-Government;Other;>50K
Male;59;White;Married-civ-spouse;Secondary education;North America;Non-Government;Technical;<=50K
Female;57;White;Divorced;Secondary education;North America;Non-Government;Other;<=50K
Male;61;White;Married-civ-spouse;Higher education;North America;Non-Government;Nontechnical;<=50K
Male;62;White;Married-civ-spouse;Higher education;North America;Non-Government;Technical;>50K
Male;58;White;Never-married;Secondary education;North America;Non-Government;Nontechnical;<=50K
*;65;*;*;*;*;*;*;*
*;63;*;*;*;*;*;*;*
Male;63;White;Married-civ-spouse;Secondary education;North America;Non-Government;Other;<=50K
Male;66;White;Married-civ-spouse;Secondary education;North America;Non-Government;Technical;<=50K
Male;52;Black;Married-civ-spouse;Secondary education;North America;Non-Government;Technical;>50K
Male;53;White;Married-civ-spouse;Primary education;North America;Non-Government;Technical;<=50K
*;59;*;*;*;*;*;*;*
Male;55;White;Married-civ-spouse;Secondary education;North America;Non-Government;Other;>50K
Male;56;White;Married-civ-spouse;Secondary education;North America;Non-Government;Nontechnical;>50K
Male;56;White;Married-civ-spouse;Secondary education;North America;Non-Government;Nontechnical;>50K
Female;54;White;Divorced;Higher education;North America;Non-Government;Technical;>50K
Male;58;White;Married-civ-spouse;Secondary education;North America;Government;Other;<=50K
Female;56;Black;Divorced;Secondary education;North America;Non-Government;Other;<=50K
Female;52;White;Divorced;Higher education;North America;Non-Government;Technical;>50K
Male;51;White;Married-civ-spouse;Higher education;North America;Non-Government;Technical;>50K
Male;54;White;Married-civ-spouse;Secondary education;North America;Government;Other;>50K
Male;65;White;Married-civ-spouse;Primary education;North America;Non-Government;Other;<=50K
Male;52;White;Married-civ-spouse;Secondary education;North America;Government;Technical;<=50K
Male;58;White;Married-civ-spouse;Secondary education;North America;Non-Government;Other;<=50K
Male;61;White;Married-civ-spouse;Higher education;North America;Non-Government;Technical;>50K
Female;55;White;Divorced;Higher education;North America;Non-Government;Other;<=50K
Male;53;White;Married-civ-spouse;Higher education;North America;Non-Government;Other;<=50K
Female;61;White;Divorced;Secondary education;North America;Non-Government;Other;<=50K
*;56;*;*;*;*;*;*;*
*;51;*;*;*;*;*;*;*
Female;55;White;Divorced;Secondary education;North America;Non-Government;Other;<=50K
Male;56;White;Married-civ-spouse;Higher education;North America;Non-Government;Nontechnical;<=50K
Male;69;White;Married-civ-spouse;Higher education;North America;Non-Government;Nontechnical;<=50K
Male;59;White;Married-civ-spouse;Higher education;North America;Non-Government;Technical;>50K
Female;67;White;Widowed;Secondary education;North America;Non-Government;Other;<=50K
Male;52;White;Married-civ-spouse;Higher education;North America;Non-Government;Technical;>50K
*;82;*;*;*;*;*;*;*
Female;60;White;Divorced;Secondary education;North America;Non-Government;Other;<=50K
Male;66;White;Married-civ-spouse;Secondary education;North America;Non-Government;Other;<=50K
Female;58;White;Divorced;Higher education;North America;Government;Technical;<=50K
*;62;*;*;*;*;*;*;*
Male;58;White;Married-civ-spouse;Higher education;North America;Non-Government;Other;>50K
Male;52;White;Married-civ-spouse;Higher education;North America;Non-Government;Nontechnical;<=50K
Male;54;Asian-Pac-Islander;Married-civ-spouse;Higher education;Asia;Government;Technical;>50K
Male;55;White;Married-civ-spouse;Secondary education;North America;Non-Government;Nontechnical;>50K
*;54;*;*;*;*;*;*;*
Female;55;Black;Divorced;Higher education;North America;Government;Other;<=50K
Male;54;White;Married-civ-spouse;Higher education;North America;Non-Government;Nontechnical;>50K
Male;60;White;Married-civ-spouse;Higher education;North America;Government;Nontechnical;>50K
Female;52;White;Divorced;Secondary education;North America;Non-Government;Nontechnical;<=50K
Male;52;White;Widowed;Secondary education;North America;Non-Government;Technical;<=50K
*;51;*;*;*;*;*;*;*
Male;52;White;Married-civ-spouse;Secondary education;North America;Non-Government;Technical;>50K
*;57;*;*;*;*;*;*;*
Male;51;White;Divorced;Higher education;North America;Non-Government;Technical;>50K
Male;56;White;Married-civ-spouse;Secondary education;North America;Non-Government;Nontechnical;<=50K
Male;67;White;Married-civ-spouse;Secondary education;North America;Non-Government;Other;<=50K
Male;52;White;Married-civ-spouse;Secondary education;North America;Non-Government;Nontechnical;>50K
Male;68;White;Married-civ-spouse;Higher education;North America;Non-Government;Nontechnical;>50K
Male;71;White;Married-civ-spouse;Higher education;North America;Non-Government;Nontechnical;>50K
Female;59;White;Divorced;Higher education;North America;Non-Government;Other;<=50K
Male;51;White;Never-married;Higher education;North America;Non-Government;Technical;>50K
*;58;*;*;*;*;*;*;*
Female;57;White;Divorced;Higher education;North America;Non-Government;Technical;<=50K
*;61;*;*;*;*;*;*;*
*;60;*;*;*;*;*;*;*
Female;51;White;Married-civ-spouse;Higher education;North America;Non-Government;Technical;>50K
Female;51;Black;Married-civ-spouse;Secondary education;North America;Non-Government;Other;<=50K
Male;55;White;Married-civ-spouse;Secondary education;North America;Non-Government;Nontechnical;<=50K
Male;56;White;Married-civ-spouse;Higher education;North America;Non-Government;Technical;>50K
Male;59;White;Married-civ-spouse;Higher education;North America;Non-Government;Technical;<=50K
Male;51;White;Married-civ-spouse;Secondary education;North America;Non-Government;Technical;<=50K
Female;59;White;Divorced;Higher education;North America;Government;Other;<=50K
Female;64;White;Married-civ-spouse;Higher education;North America;Government;Technical;>50K
Male;56;White;Married-civ-spouse;Secondary education;North America;Government;Other;<=50K
Female;51;Black;Widowed;Secondary education;North America;Non-Government;Technical;<=50K
*;52;*;*;*;*;*;*;*
Male;61;White;Married-civ-spouse;Higher education;North America;Non-Government;Technical;>50K
*;55;*;*;*;*;*;*;*
Male;65;White;Married-civ-spouse;Secondary education;North America;Non-Government;Other;>50K
Male;58;White;Married-civ-spouse;Secondary education;North America;Non-Government;Other;<=50K
Male;53;White;Married-civ-spouse;Secondary education;North America;Non-Government;Technical;<=50K
Male;51;White;Married-civ-spouse;Higher education;North America;Non-Government;Nontechnical;>50K
Male;54;White;Married-civ-spouse;Secondary education;North America;Non-Government;Nontechnical;<=50K
*;68;*;*;*;*;*;*;*
Male;58;White;Married-civ-spouse;Higher education;North America;Non-Government;Nontechnical;<=50K
*;56;*;*;*;*;*;*;*
Male;51;White;Married-civ-spouse;Secondary education;North America;Non-Government;Other;<=50K
*;55;*;*;*;*;*;*;*
Male;61;White;Married-civ-spouse;Higher education;North America;Non-Government;Nontechnical;<=50K
Female;68;White;Never-married;Secondary education;North America;Non-Government;Nontechnical;<=50K
Male;55;White;Married-civ-spouse;Higher education;North America;Non-Government;Nontechnical;>50K
Male;61;White;Married-civ-spouse;Primary education;North America;Non-Government;Nontechnical;<=50K
Male;57;Black;Married-civ-spouse;Higher education;North America;Government;Nontechnical;>50K
Male;62;White;Divorced;Higher education;North America;Non-Government;Other;<=50K
Male;53;White;Widowed;Secondary education;North America;Non-Government;Technical;<=50K
Male;59;White;Married-civ-spouse;Secondary education;North America;Non-Government;Other;>50K
Male;51;White;Married-civ-spouse;Higher education;North America;Non-Government;Nontechnical;>50K
Male;51;White;Married-civ-spouse;Secondary education;North America;Non-Government;Technical;>50K
Male;56;White;Married-civ-spouse;Higher education;North America;Non-Government;Technical;>50K
Male;64;White;Married-civ-spouse;Secondary education;North America;Non-Government;Technical;<=50K
Female;51;Black;Never-married;Secondary education;North America;Non-Government;Other;<=50K
Female;54;White;Married-civ-spouse;Secondary education;North America;Non-Government;Other;<=50K
*;55;*;*;*;*;*;*;*
Male;54;White;Widowed;Secondary education;North America;Non-Government;Technical;<=50K
*;52;*;*;*;*;*;*;*
Female;53;White;Divorced;Secondary education;North America;Non-Government;Other;<=50K
Male;70;White;Married-civ-spouse;Secondary education;North America;Non-Government;Nontechnical;<=50K
Male;51;White;Married-civ-spouse;Higher education;North America;Non-Government;Nontechnical;>50K
Male;52;White;Married-civ-spouse;Higher education;North America;Non-Government;Technical;>50K
Male;52;White;Married-civ-spouse;Higher education;North America;Government;Other;<=50K
Male;52;White;Married-civ-spouse;Secondary education;North America;Non-Government;Technical;>50K
Male;53;White;Married-civ-spouse;Higher education;North America;Non-Government;Technical;<=50K
Male;56;White;Divorced;Secondary education;North America;Non-Government;Technical;<=50K
Male;64;White;Married-civ-spouse;Secondary education;North America;Non-Government;Other;<=50K
*;53;*;*;*;*;*;*;*
Male;52;White;Married-civ-spouse;Secondary education;North America;Non-Government;Other;>50K
Male;60;White;Married-civ-spouse;Secondary education;North America;Non-Government;Other;>50K
Female;67;Black;Widowed;Primary education;North America;Non-Government;Other;<=50K
Male;69;White;Married-civ-spouse;Higher education;North America;Non-Government;Nontechnical;>50K
Female;52;White;Widowed;Secondary education;North America;Non-Government;Nontechnical;<=50K
Male;61;White;Married-civ-spouse;Higher education;North America;Non-Government;Technical;<=50K
Male;58;White;Married-civ-spouse;Secondary education;North America;Non-Government;Nontechnical;>50K
Male;54;White;Divorced;Secondary education;North America;Non-Government;Technical;<=50K
Male;67;White;Married-civ-spouse;Higher education;North America;Non-Government;Other;>50K
*;62;*;*;*;*;*;*;*
Male;60;White;Married-civ-spouse;Higher education;North America;Non-Government;Nontechnical;<=50K
*;56;*;*;*;*;*;*;*
Female;54;White;Married-civ-spouse;Secondary education;North America;Non-Government;Other;<=50K
Male;54;White;Divorced;Higher education;North America;Non-Government;Nontechnical;>50K
Male;75;White;Married-civ-spouse;Secondary education;North America;Non-Government;Technical;<=50K
Female;59;White;Widowed;Secondary education;North America;Non-Government;Other;<=50K
*;53;*;*;*;*;*;*;*
Male;56;White;Married-civ-spouse;Higher education;North America;Non-Government;Nontechnical;>50K
Female;60;White;Widowed;Secondary education;North America;Non-Government;Nontechnical;<=50K
Male;67;White;Divorced;Secondary education;North America;Non-Government;Other;<=50K
Female;54;White;Divorced;Higher education;North America;Non-Government;Other;<=50K
Female;53;White;Divorced;Secondary education;North America;Non-Government;Nontechnical;<=50K
Female;61;White;Divorced;Secondary education;North America;Non-Government;Nontechnical;<=50K
*;51;*;*;*;*;*;*;*
Male;58;White;Married-civ-spouse;Higher education;North America;Non-Government;Nontechnical;>50K
Male;51;White;Married-civ-spouse;Higher education;North America;Non-Government;Technical;>50K
Female;55;Black;Widowed;Secondary education;North America;Non-Government;Technical;<=50K
Male;69;White;Never-married;Secondary education;North America;Non-Government;Technical;<=50K
Female;63;White;Widowed;Secondary education;North America;Non-Government;Other;<=50K
Male;66;White;Married-civ-spouse;Secondary education;North America;Non-Government;Nontechnical;<=50K
Male;62;White;Married-civ-spouse;Secondary education;North America;Non-Government;Other;>50K
Male;58;White;Married-civ-spouse;Secondary education;North America;Government;Nontechnical;<=50K
Male;60;White;Married-civ-spouse;Higher education;North America;Non-Government;Nontechnical;>50K
Female;65;White;Widowed;Higher education;North America;Non-Government;Other;<=50K
Male;66;White;Married-civ-spouse;Higher education;North America;Non-Government;Other;<=50K
Female;55;White;Widowed;Secondary education;North America;Non-Government;Other;<=50K
Male;65;Black;Married-civ-spouse;Higher education;North America;Government;Nontechnical;>50K
Male;59;White;Married-civ-spouse;Secondary education;North America;Non-Government;Other;<=50K
Male;57;White;Married-civ-spouse;Higher education;North America;Non-Government;Nontechnical;>50K
Male;68;White;Divorced;Secondary education;North America;Non-Government;Other;<=50K
Male;54;White;Married-civ-spouse;Higher education;North America;Non-Government;Nontechnical;>50K
*;57;*;*;*;*;*;*;*
Male;51;White;Married-civ-spouse;Higher education;North America;Non-Government;Nontechnical;>50K
Female;57;White;Married-civ-spouse;Higher education;North America;Non-Government;Nontechnical;<=50K
Male;64;White;Married-civ-spouse;Secondary education;North America;Government;Other;<=50K
Male;67;White;Married-civ-spouse;Secondary education;North America;Non-Government;Nontechnical;<=50K
Female;51;White;Separated;Secondary education;North America;Non-Government;Other;<=50K
Female;53;White;Divorced;Secondary education;North America;Non-Government;Nontechnical;<=50K
Female;55;Black;Divorced;Secondary education;North America;Non-Government;Technical;<=50K
Male;53;White;Divorced;Secondary education;North America;Non-Government;Technical;<=50K
Male;61;White;Married-civ-spouse;Secondary education;North America;Non-Government;Other;<=50K
